序号/回输入界面,Unnamed: 1,构件A型钢参数,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,不锈钢薄板,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
代号,施工图号,子项,名称,规格,数量,单位,材质,材料编码,名称,厚度,长 mm,宽 mm,面积,单位,材质
E1,图C.5-1,A,钢板,δ=10,0.025,m²,Q235B,S,钢板,δ=1,50,50,0.0025,m²,06Cr18Ni9
,,B,角钢,∠50x6,,m,Q235B,S,钢板,δ=2,50,60,0.003,m²,06Cr18Ni9
,,C,槽钢,[10,,m,Q235B,S,钢板,δ=2,100,80,0.008,m²,06Cr18Ni9
,,D,H型钢,H100x100x6x8,,m,Q235B,S,钢板,δ=2,100,90,0.009,m²,06Cr18Ni9
,,E,H型钢,H150x150x7x10,,m,Q235B,S,钢板,δ=2,150,100,0.015,m²,06Cr18Ni9
